Date,Open,High,Low,Close,Adj Close,Volume
2020-11-30,129.61000061035156,133.19000244140625,129.4499969482422,133.0,133.0,1220500
2020-12-01,132.88999938964844,137.4499969482422,131.94000244140625,137.1999969482422,137.1999969482422,1009800
2020-12-02,137.92999267578125,139.39999389648438,135.75,138.5800018310547,138.5800018310547,993200
2020-12-03,139.05999755859375,139.32000732421875,137.6199951171875,138.02000427246094,138.02000427246094,699500
2020-12-04,138.42999267578125,141.8800048828125,138.3000030517578,141.77999877929688,141.77999877929688,750300
2020-12-07,141.5,144.1699981689453,141.5,143.88999938964844,143.88999938964844,904200
2020-12-08,143.5,148.38999938964844,143.4499969482422,147.91000366210938,147.91000366210938,1196600
2020-12-09,147.88999938964844,147.88999938964844,142.9499969482422,143.91000366210938,143.91000366210938,886300
2020-12-10,143.4600067138672,146.6699981689453,143.08999633789062,145.91000366210938,145.91000366210938,800800
2020-12-11,145.8000030517578,146.64999389648438,144.36000061035156,146.07000732421875,146.07000732421875,639100
2020-12-14,146.5,149.9499969482422,145.27999877929688,145.32000732421875,145.32000732421875,561000
2020-12-15,146.08999633789062,147.8000030517578,145.0800018310547,145.1999969482422,145.1999969482422,841600
2020-12-16,145.0,145.33999633789062,140.39999389648438,140.8000030517578,140.8000030517578,1089200
2020-12-17,141.52999877929688,143.60000610351562,141.07000732421875,143.4199981689453,143.4199981689453,928200
2020-12-18,143.16000366210938,143.5500030517578,140.77000427246094,142.6999969482422,142.6999969482422,1484800
