Date,Open,High,Low,Close,Adj Close,Volume
2020-11-30,163.1999969482422,164.3800048828125,159.0,160.19000244140625,160.19000244140625,613000
2020-12-01,162.9499969482422,166.5500030517578,162.33999633789062,164.4199981689453,164.4199981689453,373600
2020-12-02,162.69000244140625,164.91000366210938,160.3000030517578,163.1699981689453,163.1699981689453,359300
2020-12-03,164.0399932861328,166.08999633789062,163.13999938964844,163.72999572753906,163.72999572753906,314500
2020-12-04,164.1199951171875,169.6199951171875,163.55999755859375,167.69000244140625,167.69000244140625,284600
2020-12-07,167.39999389648438,170.3800048828125,165.11000061035156,170.0399932861328,170.0399932861328,461100
2020-12-08,169.24000549316406,172.74000549316406,169.24000549316406,171.58999633789062,171.58999633789062,420000
2020-12-09,172.83999633789062,174.92999267578125,172.39999389648438,173.44000244140625,173.44000244140625,458000
2020-12-10,171.5399932861328,176.27000427246094,171.5399932861328,174.4600067138672,174.4600067138672,479700
2020-12-11,173.97000122070312,179.27999877929688,173.97000122070312,177.6999969482422,177.6999969482422,446800
2020-12-14,179.0,179.89999389648438,174.05999755859375,174.97999572753906,174.97999572753906,412400
2020-12-15,175.39999389648438,177.27000427246094,173.77999877929688,176.07000732421875,176.07000732421875,316500
2020-12-16,176.4499969482422,177.13999938964844,173.1199951171875,174.6199951171875,174.6199951171875,310400
2020-12-17,174.6300048828125,174.91000366210938,170.39999389648438,170.47000122070312,170.47000122070312,414700
2020-12-18,170.55999755859375,172.50999450683594,168.5,169.6199951171875,169.6199951171875,977100
