Date,Open,High,Low,Close,Adj Close,Volume
2020-11-30,84.56999969482422,84.76000213623047,79.44999694824219,79.48999786376953,79.48999786376953,1388100
2020-12-01,82.3499984741211,84.06999969482422,80.52999877929688,81.80000305175781,81.80000305175781,1957600
2020-12-02,80.54000091552734,84.0999984741211,79.44999694824219,83.29000091552734,83.29000091552734,1613900
2020-12-03,83.33999633789062,90.94999694824219,82.5,88.13999938964844,88.13999938964844,2393300
2020-12-04,88.73999786376953,91.75,87.58000183105469,91.52999877929688,91.52999877929688,2048100
2020-12-07,90.83999633789062,92.68000030517578,89.72000122070312,92.26000213623047,92.26000213623047,1069200
2020-12-08,90.44000244140625,92.77999877929688,90.31999969482422,91.68000030517578,91.68000030517578,1264000
2020-12-09,92.12000274658203,94.48999786376953,90.5199966430664,93.66000366210938,93.66000366210938,1241000
2020-12-10,94.30999755859375,96.08999633789062,93.12999725341797,94.63999938964844,94.63999938964844,1197500
2020-12-11,96.29000091552734,96.69999694824219,92.94999694824219,94.33000183105469,94.33000183105469,909200
2020-12-14,96.0,96.3499984741211,93.3499984741211,93.5999984741211,93.5999984741211,1167700
2020-12-15,93.76000213623047,95.58999633789062,92.23999786376953,95.52999877929688,95.52999877929688,635600
2020-12-16,95.04000091552734,96.01000213623047,92.91000366210938,94.36000061035156,94.36000061035156,977800
2020-12-17,94.6500015258789,97.12000274658203,93.31999969482422,96.4000015258789,96.4000015258789,892200
2020-12-18,95.75,97.45999908447266,94.44999694824219,95.26000213623047,95.26000213623047,1447700
